 #faults          #DT(#DS/#DI)          #PT(#AP/#NP)  #UD(#UU/#UO/#UT/#UB/#UR)     #AU          #ND(#NC/#NO)  testcov  instance name (type)
 ------- --------------------- --------------------- ------------------------- ------- ---------------------  -------  -----------------------
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_1__7_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_1__6_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_1__5_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_1__4_  (DFFR_X1)
       8                2(2/0)                5(0/5)             0(0/0/0/0/0)       0                1(0/1)   50.00%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_1__3_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_1__2_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_1__1_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_1__0_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_0__31_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(0/1)   87.50%              /if_stage_i/prefetch_128_prefetch_buffer_i/L0_buffer_i/L0_buffer_reg_0__30_  (DFFR_X1)
