 #faults          #DT(#DS/#DI)          #PT(#AP/#NP)  #UD(#UU/#UO/#UT/#UB/#UR)     #AU          #ND(#NC/#NO)  testcov  instance name (type)
 ------- --------------------- --------------------- ------------------------- ------- ---------------------  -------  -----------------------
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__29_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__30_  (DFFR_X1)
      10                9(9/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   90.00%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_3__31_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__0_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__0_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__1_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__1_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__2_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__2_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__3_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__3_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__4_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__4_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__5_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__5_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__6_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__6_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__7_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__7_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__8_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__8_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__9_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__9_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__10_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__10_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__11_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__11_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__12_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__12_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__13_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__13_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__14_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__14_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__15_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__15_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__16_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__16_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__17_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__17_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__18_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__18_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__19_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__19_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__20_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__20_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__21_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__21_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__22_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__22_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__23_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__23_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__24_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__24_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__25_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__25_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__26_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__26_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__27_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__27_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__28_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_1__28_  (DFFR_X1)
       8                7(7/0)                0(0/0)             0(0/0/0/0/0)       0                1(1/0)   87.50%           /if_stage_i_prefetch_32_prefetch_buffer_i/fifo_i/rdata_Q_reg_2__29_  (DFFR_X1)
